"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"North Carolina","37","2024 (provisional)","2024",2176,10835491,20.1,20.9
,"North Carolina","37","2025 (provisional and partial)","2025",269,10835491,2.5,2.6
"Total","North Carolina","37",,,18773,85229135,22.0,23.1
,"North Dakota","38","2018","2018",38,760077,5.0,5.4
,"North Dakota","38","2019","2019",43,762062,5.6,5.9
,"North Dakota","38","2020","2020",72,765309,9.4,9.7
,"North Dakota","38","2021","2021",75,774948,9.7,10.3
,"North Dakota","38","2022","2022",99,779261,12.7,13.6
,"North Dakota","38","2023","2023",90,783926,11.5,12.0
,"North Dakota","38","2024 (provisional)","2024",69,783926,8.8,9.8
,"North Dakota","38","2025 (provisional and partial)","2025",22,783926,2.8,3.0
"Total","North Dakota","38",,,508,6193435,8.2,8.7
,"Ohio","39","2018","2018",3319,11689442,28.4,30.3
,"Ohio","39","2019","2019",3553,11689100,30.4,32.3
,"Ohio","39","2020","2020",4494,11693217,38.4,41.1
,"Ohio","39","2021","2021",4574,11780017,38.8,41.1
,"Ohio","39","2022","2022",4308,11756058,36.6,38.7
,"Ohio","39","2023","2023",3864,11785935,32.8,34.5
,"Ohio","39","2024 (provisional)","2024",2351,11785935,19.9,20.8
,"Ohio","39","2025 (provisional and partial)","2025",386,11785935,3.3,3.4
"Total","Ohio","39",,,26849,93965639,28.6,30.3
,"Oklahoma","40","2018","2018",318,3943079,8.1,8.1
,"Oklahoma","40","2019","2019",274,3956971,6.9,7.1
,"Oklahoma","40","2020","2020",326,3980783,8.2,8.5
,"Oklahoma","40","2021","2021",479,3986639,12.0,12.4
,"Oklahoma","40","2022","2022",770,4019800,19.2,20.0
,"Oklahoma","40","2023","2023",842,4053824,20.8,21.9
,"Oklahoma","40","2024 (provisional)","2024",611,4053824,15.1,15.8
,"Oklahoma","40","2025 (provisional and partial)","2025",25,4053824,0.6,0.6
"Total","Oklahoma","40",,,3645,32048744,11.4,11.8
,"Oregon","41","2018","2018",351,4190713,8.4,8.2
,"Oregon","41","2019","2019",338,4217737,8.0,7.8
,"Oregon","41","2020","2020",511,4241507,12.0,12.2
,"Oregon","41","2021","2021",785,4246155,18.5,18.3
,"Oregon","41","2022","2022",983,4240137,23.2,22.8
,"Oregon","41","2023","2023",1406,4233358,33.2,32.6
,"Oregon","41","2024 (provisional)","2024",1110,4233358,26.2,25.6
,"Oregon","41","2025 (provisional and partial)","2025",255,4233358,6.0,6.0
"Total","Oregon","41",,,5739,33836323,17.0,16.7
